"Meddržavne selitve po: SELITVE, DRŽAVA DRŽAVLJANSTVA, LETO , SPOL"

" ";" ";"1996";" ";" ";"1997";" ";" ";"1998";" ";" ";"1999";" ";" ";"2000";" ";" ";"2001";" ";" ";"2002";" ";" ";"2003";" ";" ";"2004";" ";" ";"2005";" ";" ";"2006";" ";" ";"2007";" ";" ";"2008";" ";" ";"2009";" ";" ";"2010";" ";" ";"2011";" ";" ";"2012";" ";" ";"2013";" ";" ";"2014";" ";" ";"2015";" ";" ";"2016";" ";" ";"2017";" ";" "
" ";" ";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske";"Spol - SKUPAJ";"Moški";"Ženske"
"Priseljeni iz tujine"
" ";"  Ukrajina";58;16;42;147;37;110;120;30;90;121;45;76;192;84;108;231;78;153;269;66;203;247;98;149;341;166;175;372;129;243;357;141;216;471;197;274;440;152;288;354;113;241;261;68;193;203;47;156;223;82;141;182;73;109;223;104;119;303;134;169;305;158;147;272;113;159
" ";"  Združeno kraljestvo";24;16;8;15;8;7;16;11;5;2;0;2;20;13;7;36;24;12;20;12;8;39;22;17;11;10;1;114;79;35;79;46;33;146;92;54;134;83;51;117;72;45;117;71;46;77;46;31;102;68;34;62;42;20;70;48;22;72;47;25;89;51;38;100;58;42
" ";"  Druge države Evrope";44;24;20;104;56;48;186;95;91;93;76;17;113;81;32;156;100;56;268;198;70;277;161;116;104;61;43;526;361;165;538;353;185;659;432;227;417;228;189;404;210;194;389;235;154;319;146;173;278;121;157;265;132;133;235;122;113;206;108;98;218;113;105;202;94;108
" ";"AFRIKA";9;8;1;13;12;1;5;3;2;9;9;0;8;7;1;12;12;0;18;13;5;24;18;6;28;19;9;31;21;10;32;20;12;35;20;15;63;46;17;55;39;16;74;59;15;63;53;10;68;57;11;67;50;17;86;63;23;82;62;20;70;53;17;97;76;21
" ";"AZIJA";107;62;45;110;71;39;109;57;52;31;19;12;84;40;44;174;90;84;158;81;77;196;99;97;190;99;91;217;105;112;197;103;94;359;199;160;357;166;191;564;307;257;330;167;163;276;138;138;306;163;143;306;165;141;278;143;135;372;197;175;436;246;190;517;284;233
" ";"JUŽNA AMERIKA";8;7;1;10;4;6;12;8;4;13;13;0;15;4;11;22;9;13;32;14;18;46;22;24;18;11;7;20;10;10;24;6;18;32;13;19;38;16;22;45;20;25;38;15;23;48;25;23;36;15;21;37;12;25;29;12;17;44;13;31;47;22;25;52;24;28
" ";"SEVERNA IN SREDNJA AMERIKA";56;27;29;39;21;18;34;20;14;8;8;0;48;27;21;112;54;58;81;37;44;92;46;46;76;39;37;105;53;52;118;64;54;151;66;85;195;70;125;191;71;120;178;65;113;126;64;62;111;54;57;124;61;63;112;58;54;135;65;70;121;65;56;113;50;63
" ";"  Kanada";7;3;4;3;1;2;2;1;1;1;1;0;5;2;3;7;6;1;4;2;2;8;4;4;5;2;3;8;4;4;14;7;7;16;8;8;22;12;10;14;8;6;11;3;8;14;8;6;10;8;2;4;2;2;7;4;3;11;4;7;16;12;4;14;9;5
" ";"  Združene države";47;23;24;35;20;15;26;16;10;7;7;0;39;24;15;91;44;47;61;30;31;55;32;23;49;29;20;68;40;28;78;46;32;86;51;35;83;45;38;62;41;21;79;42;37;52;35;17;56;28;28;76;45;31;74;39;35;92;48;44;76;40;36;63;30;33
" ";"  Druge države Severne in Srednje Amerike";2;1;1;1;0;1;6;3;3;0;0;0;4;1;3;14;4;10;16;5;11;29;10;19;22;8;14;29;9;20;26;11;15;49;7;42;90;13;77;115;22;93;88;20;68;60;21;39;45;18;27;44;14;30;31;15;16;32;13;19;29;13;16;36;11;25
" ";"AVSTRALIJA IN OCEANIJA";4;2;2;4;2;2;1;1;0;2;2;0;12;7;5;20;13;7;6;2;4;19;12;7;9;6;3;18;12;6;17;11;6;18;12;6;20;14;6;23;16;7;17;11;6;11;7;4;16;11;5;15;10;5;7;6;1;8;6;2;13;8;5;16;10;6
" ";"Neznana država";159;122;37;139;116;23;58;39;19;23;19;4;10;9;1;4;2;2;22;15;7;39;17;22;0;0;0;4;2;2;8;5;3;19;11;8;98;56;42;22;14;8;48;26;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Odseljeni v tujino"
" ";"Država državljanstva - SKUPAJ";2985;1757;1228;5447;4174;1273;6708;5131;1577;2606;1732;874;3570;2376;1194;4811;3503;1308;7269;4596;2673;5867;3444;2423;8269;6061;2208;8605;6659;1946;13749;10725;3024;14943;10696;4247;12109;8190;3919;18788;14816;3972;15937;11586;4351;12024;8151;3873;14378;8699;5679;13384;7902;5482;14336;8609;5727;14913;8976;5937;15572;9328;6244;17555;10694;6861
" ";"EVROPA";2780;1622;1158;5016;3831;1185;6176;4720;1456;2502;1663;839;3415;2278;1137;4610;3369;1241;7050;4488;2562;5634;3315;2319;8045;5909;2136;8437;6557;1880;13507;10585;2922;14487;10470;4017;11915;8091;3824;18435;14643;3792;15203;11261;3942;11669;7950;3719;14053;8516;5537;13076;7756;5320;14002;8425;5577;14589;8796;5793;15224;9135;6089;17161;10470;6691
" ";"  Albanija";15;13;2;37;36;1;23;21;2;3;2;1;22;16;6;12;9;3;29;21;8;28;17;11;19;18;1;16;15;1;15;13;2;12;8;4;3;2;1;10;9;1;11;8;3;13;9;4;8;5;3;7;1;6;7;3;4;3;3;0;8;3;5;10;3;7
" ";"  Avstrija";28;16;12;23;10;13;23;15;8;22;10;12;23;11;12;4;4;0;9;4;5;19;13;6;81;51;30;32;21;11;84;52;32;102;63;39;63;41;22;71;51;20;87;54;33;56;40;16;63;46;17;68;47;21;57;40;17;57;39;18;51;32;19;60;37;23
" ";"  Belgija";3;2;1;0;0;0;5;3;2;0;0;0;1;1;0;7;4;3;8;0;8;13;10;3;9;7;2;9;5;4;14;8;6;7;5;2;7;5;2;13;9;4;12;8;4;12;8;4;8;3;5;20;13;7;7;5;2;17;14;3;8;6;2;10;5;5
" ";"  Bolgarija";8;2;6;17;9;8;20;12;8;18;14;4;73;69;4;21;18;3;7;2;5;12;5;7;66;60;6;34;32;2;30;19;11;128;122;6;130;107;23;382;328;54;311;246;65;337;267;70;482;381;101;424;331;93;464;358;106;524;445;79;525;417;108;519;430;89
" ";"  Bosna in Hercegovina";446;245;201;1107;903;204;603;438;165;340;310;30;338;289;49;705;523;182;1323;987;336;630;419;211;1582;1337;245;2351;2191;160;3858;3617;241;4258;3656;602;3016;2756;260;6658;6150;508;4439;3924;515;2626;2267;359;1902;1593;309;1387;1068;319;1511;1107;404;1553;1137;416;1906;1453;453;2152;1704;448
" ";"  Èeška republika";12;3;9;5;1;4;11;5;6;10;3;7;26;6;20;20;9;11;12;6;6;25;10;15;27;12;15;14;3;11;28;9;19;47;12;35;24;7;17;21;9;12;23;9;14;32;15;17;29;12;17;21;11;10;19;9;10;33;10;23;28;15;13;21;7;14
" ";"  Èrna gora";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;15;8;7;22;14;8;61;38;23;57;30;27;37;24;13;35;19;16;38;18;20;29;12;17;31;21;10;46;28;18;39;24;15
" ";"  Danska";13;5;8;3;3;0;11;7;4;0;0;0;0;0;0;5;4;1;0;0;0;11;8;3;12;9;3;3;2;1;8;5;3;15;11;4;0;0;0;8;5;3;4;3;1;6;4;2;1;0;1;4;3;1;1;1;0;10;8;2;5;3;2;2;2;0
" ";"  Francija";17;16;1;15;9;6;42;27;15;7;4;3;36;27;9;22;15;7;17;9;8;26;15;11;89;54;35;36;18;18;95;65;30;122;87;35;61;36;25;45;26;19;75;44;31;52;33;19;40;28;12;60;38;22;63;42;21;55;36;19;54;32;22;51;32;19
" ";"  Hrvaška";465;276;189;775;553;222;354;186;168;298;187;111;310;259;51;589;439;150;779;567;212;931;621;310;507;340;167;718;580;138;920;652;268;1153;684;469;555;367;188;751;529;222;828;565;263;582;414;168;627;416;211;743;547;196;944;696;248;759;530;229;738;519;219;818;586;232
" ";"  Italija";85;41;44;78;50;28;65;40;25;18;11;7;41;30;11;61;36;25;15;12;3;2;1;1;43;25;18;22;20;2;87;63;24;160;111;49;137;101;36;173;123;50;171;110;61;180;116;64;177;115;62;201;138;63;263;186;77;258;176;82;325;235;90;361;264;97
" ";"  Kosovo";...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;84;78;6;1563;1381;182;1820;1639;181;951;781;170;682;514;168;399;250;149;409;231;178;516;283;233;809;467;342;968;582;386
" ";"  Madžarska";5;0;5;7;3;4;11;5;6;10;4;6;4;1;3;10;9;1;26;14;12;20;10;10;23;10;13;8;3;5;68;56;12;26;5;21;38;22;16;52;35;17;37;24;13;81;64;17;33;21;12;55;28;27;62;38;24;73;56;17;94;68;26;108;84;24
