 ;1995; ; ; ;1996; ; ; ;1997; ; ; ;1998; ; ; ;1999; ; ; ;2000; ; ; ;2001; ; ; ;2002; ; ; ;2003; ; ; ;2004; ; ; ;2005; ; ; ;2006; ; ; ;2007; ; ; ;2008; ; ; ;2009; ; ; ;2010; ; ; ;2011; ; ; ;2012; ; ; ;2013; ; ; ;2014; ; ; ;2015; ; ; ;2016; ; ; ;2017; ; ; 
 ;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske;Priseljeni iz tujine - Moški;Priseljeni iz tujine - Ženske;Odseljeni v tujino - Moški;Odseljeni v tujino - Ženske
Makole;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;0;8;1;4;4;3;1;4;0;5;1;1;1;6;3;5;1;4;2;4;3;13;22;0;0;11;13;3;2;0;1;0;1;6;1;2;1;2;2;0;2;1;4
Maribor;89;85;35;30;67;48;20;39;34;44;26;27;167;123;283;84;161;87;55;50;274;141;94;36;425;162;52;53;271;143;187;139;216;131;116;92;428;140;285;118;678;278;323;93;1130;295;741;200;2227;339;764;241;1903;387;948;517;1723;393;1356;234;697;314;833;280;672;354;548;256;784;405;751;483;698;426;620;382;731;432;661;407;793;524;679;464;801;592;766;440;1086;615;832;485
Markovci;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;2;2;2;3;0;1;2;1;0;0;1;15;2;2;1;6;2;5;2;3;1;4;1;6;3;4;2;3;3;7;2;2;3;9;0;7;5;6;13;6;1;5;2;5;13;4;6;5;9;2;21;6;10;11;5;5;23;16;7;2;16;7;8;2;11;5;14;7;14;9;12;3;13;12
Medvode;9;6;1;2;8;5;5;3;5;3;6;3;57;11;46;9;123;6;46;10;108;12;16;7;163;17;119;4;134;25;120;49;89;23;67;43;23;34;38;29;100;30;33;13;152;18;92;18;132;38;81;27;144;50;56;20;203;53;87;17;62;40;127;27;64;32;82;26;69;53;66;27;72;32;68;33;77;38;63;40;88;45;81;41;103;33;67;49;88;53;66;40
Mengeš;3;4;2;1;1;2;3;2;1;1;3;0;5;4;11;8;4;7;0;3;10;7;7;5;14;14;7;4;12;9;3;4;30;5;7;0;33;7;24;5;51;12;40;3;31;12;29;5;61;19;18;23;69;31;14;5;73;28;44;10;20;22;16;6;19;21;20;8;22;17;15;11;24;15;17;12;18;14;25;26;19;28;25;22;30;31;15;16;44;23;26;35
Metlika;9;18;3;2;6;7;2;6;7;10;3;4;20;19;5;4;9;5;8;3;8;10;14;10;31;21;2;2;32;15;16;11;26;17;10;6;28;19;16;12;40;21;11;4;38;18;21;11;34;14;22;22;67;34;36;15;64;40;44;26;33;33;27;27;40;58;29;18;32;22;29;39;30;19;27;19;31;25;28;28;27;17;33;35;32;13;48;43;41;34;53;35
Mežica;0;0;0;0;1;1;1;0;2;3;0;0;1;3;2;4;1;0;1;0;4;0;2;4;1;1;0;4;3;3;15;9;3;3;5;6;1;1;4;6;3;3;5;2;15;4;9;2;10;7;5;5;10;8;4;2;11;8;8;2;12;3;5;2;16;14;8;5;16;7;16;13;13;10;11;5;11;8;23;20;16;8;14;9;25;14;17;17;21;19;18;15
Miklavž na Dravskem polju;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;5;1;0;5;2;2;1;6;4;2;2;8;6;6;5;10;9;3;7;9;1;9;3;6;4;8;5;31;5;14;9;59;9;30;3;74;10;42;24;51;5;38;11;12;4;41;4;15;11;23;1;16;8;33;15;15;12;13;14;6;10;17;13;21;14;10;15;21;18;33;16;33;24;27;17
Miren - Kostanjevica;2;2;0;0;8;1;1;1;0;4;3;0;0;5;4;4;4;2;2;0;6;8;3;0;4;8;3;7;14;7;7;13;8;13;5;5;7;9;5;6;10;10;10;0;15;5;9;6;16;6;9;4;63;18;6;3;81;14;40;13;23;13;32;7;9;13;14;14;25;15;28;20;16;10;21;9;18;8;14;11;19;15;13;9;17;10;18;14;25;11;19;10
Mirna;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;8;8;3;7;10;6;3;4;4;5;2;4;5;8;5;1;1;3;2;12;4;8;2
Mirna Peè;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;2;0;1;0;1;2;0;0;0;2;1;0;0;1;1;0;0;0;1;1;0;0;2;0;1;0;0;2;3;2;0;1;1;1;8;0;1;1;3;1;3;0;2;2;0;2;0;0;1;1;2;1;2;2;2;1;4;1;1;0;5;5;1;0;5;1;3;1;5;1;3;3;6;1
Mislinja;2;1;0;0;0;0;0;0;0;3;0;2;0;0;0;2;1;1;1;1;2;1;0;1;3;1;4;0;0;1;1;0;2;0;2;0;1;0;2;0;2;0;2;1;3;0;4;2;7;2;3;2;7;2;3;3;7;3;5;2;8;6;4;4;3;4;4;5;8;2;7;3;2;1;9;3;4;5;12;5;4;0;9;3;6;0;3;6;6;2;12;11
Mokronog - Trebelno;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51;1;20;4;19;9;9;4;12;5;11;5;5;2;3;1;5;6;3;2;6;1;14;4;7;1;3;1;3;4;3;3;4;8;5;5;3;1;7;3;1;1;4;2
Moravèe;2;1;3;2;0;1;0;0;1;1;0;0;0;1;3;2;1;3;3;3;2;1;2;0;0;1;0;2;0;2;7;5;1;0;2;0;5;1;1;1;3;5;1;0;4;3;1;1;5;4;2;0;6;4;1;0;7;6;3;3;8;6;4;3;6;4;9;5;2;1;5;3;6;4;6;5;5;3;8;5;4;3;3;4;2;4;8;4;5;4;11;7
Moravske Toplice;0;0;1;0;0;0;0;0;1;0;3;1;4;2;5;6;13;1;25;4;9;1;73;6;7;6;5;6;2;2;0;3;6;5;9;4;2;0;4;1;62;2;6;5;46;4;61;5;51;8;16;4;14;12;19;7;9;10;14;15;9;5;7;12;7;12;14;12;14;6;21;12;9;6;9;8;8;9;9;11;12;7;13;10;5;7;12;11;10;4;12;18
Mozirje;0;1;0;1;1;0;3;2;0;1;1;1;3;1;7;2;21;7;13;9;20;2;2;1;24;3;27;2;27;8;15;11;36;6;11;7;46;6;36;0;31;4;34;2;41;7;25;7;29;6;13;5;30;7;2;3;23;4;12;4;15;7;16;7;6;9;13;1;17;4;5;3;68;4;5;5;17;4;40;6;6;11;50;11;18;2;7;6;11;10;14;5
Murska Sobota;2;8;2;4;3;5;3;5;2;3;9;5;11;10;10;10;5;8;4;6;10;17;8;5;21;12;4;9;24;17;8;16;34;22;31;19;11;17;11;15;38;28;15;11;54;22;27;15;85;34;47;28;58;36;32;19;42;30;54;27;33;15;41;29;33;32;30;24;35;25;53;41;40;27;67;32;27;19;42;42;45;22;62;46;40;37;58;52;40;34;74;52
Muta;0;0;2;2;1;1;0;0;0;1;0;0;1;0;2;0;1;0;2;2;1;1;2;1;1;0;0;4;4;2;5;9;3;0;3;1;0;1;3;5;4;1;1;1;0;2;3;1;2;1;4;5;5;0;6;5;9;1;7;6;2;1;3;3;1;7;6;5;1;2;3;5;3;1;4;2;1;6;10;9;2;1;6;7;1;2;8;4;4;3;9;8
Naklo;0;0;1;1;0;2;1;1;1;1;1;1;11;2;5;3;6;0;5;6;7;3;1;2;14;6;20;1;9;4;4;4;12;5;8;6;45;5;51;8;17;3;16;4;20;9;16;1;45;17;19;6;28;10;8;5;36;7;25;3;21;4;22;6;12;6;9;1;16;7;9;4;8;3;12;7;10;5;5;2;11;8;9;7;27;7;9;9;12;3;14;10
Nazarje;2;1;0;1;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;2;1;0;3;1;1;2;3;1;4;1;3;4;4;0;6;4;3;1;2;3;5;4;4;5;3;0;2;0;7;5;6;4;16;2;6;5;14;2;1;0;25;4;25;5;21;6;7;0;30;2;9;2;22;0;16;2;22;3;9;2;23;4;14;2;21;3;8;2;37;5;12;9
Nova Gorica;17;12;4;6;11;6;6;4;3;11;5;3;91;27;297;49;212;42;44;17;165;44;75;14;111;72;108;23;232;91;132;55;205;103;103;49;254;81;189;49;366;106;182;46;474;106;351;56;731;114;190;62;540;148;235;46;568;188;413;83;212;157;250;98;152;112;157;68;139;129;158;83;151;106;126;86;149;116;115;86;170;133;153;113;182;122;130;87;197;120;168;139
Novo mesto;20;20;6;7;6;9;8;9;7;10;5;4;49;29;182;35;94;28;48;20;83;21;35;19;120;33;169;32;227;35;162;60;218;68;131;53;277;32;217;26;354;74;216;17;541;82;388;33;826;86;450;36;655;108;168;40;608;142;317;62;230;128;214;74;148;104;160;46;102;105;157;70;120;108;142;83;117;77;127;76;143;123;116;71;149;93;158;103;192;123;190;107
Odranci;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;1;2;3;1;0;2;0;2;1;1;1;1;0;1;1;2;0;0;0;0;0;0;0;4;2;1;3;1;1;3;5;3;0;4;1;1;0;2;2;2;2;4;2;1;1;9;7;4;5;5;7;7;0;5;3;3;3;13;1;4;0;6;0;1;2;9;6
Oplotnica;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;3;1;1;1;4;0;2;0;1;0;0;0;0;2;0;0;4;8;3;1;2;2;2;2;5;3;1;0;0;1;5;0;4;2;8;1;7;2;15;4;7;6;5;2;14;9;9;5;1;2;4;1;4;3;3;4;5;5;2;0;2;2;6;2;2;2;3;2;3;5;3;3;2;2
Ormož;7;9;4;4;12;12;3;4;10;8;2;2;14;18;5;4;5;5;6;4;11;9;5;3;24;19;12;8;11;15;8;10;10;18;4;13;12;13;8;6;24;27;10;7;32;17;21;14;33;14;12;12;53;20;165;149;57;22;34;22;36;20;44;22;30;15;29;17;17;11;28;21;13;14;25;27;28;17;27;21;27;11;31;24;31;19;42;30;31;20;28;30
Osilnica;3;0;0;0;5;2;0;0;0;0;0;0;3;0;1;4;0;0;1;0;0;1;0;0;1;4;2;2;1;5;0;1;2;5;1;2;1;1;0;3;1;1;3;0;5;5;4;2;1;0;3;0;6;5;0;0;4;7;2;1;3;2;1;2;7;3;2;4;2;1;4;4;1;3;2;2;2;1;0;6;2;1;1;0;0;3;0;2;1;2;1;1
Pesnica;0;1;3;1;5;5;1;0;0;0;3;0;3;4;4;7;1;3;2;2;3;4;2;3;7;12;0;1;10;21;3;11;9;27;9;12;7;10;6;15;7;7;2;6;50;14;16;6;46;8;26;12;57;10;60;38;58;9;45;7;20;7;15;9;11;8;31;6;12;13;17;9;24;4;18;25;16;11;17;10;16;15;34;20;35;12;33;27;45;18;27;22
Piran;46;30;8;5;15;12;1;7;8;4;9;4;48;59;72;53;42;36;19;14;45;58;39;13;74;92;33;16;76;50;61;55;73;59;43;41;92;64;64;78;161;76;122;44;153;89;142;94;244;139;125;114;215;151;119;77;335;173;175;108;145;117;172;99;116;108;137;91;268;101;104;77;119;89;120;95;122;93;86;83;135;108;121;69;157;113;120;62;142;100;139;92
Pivka;5;3;2;1;1;1;0;1;4;2;0;0;8;1;15;2;8;4;4;4;7;2;7;3;10;5;3;5;12;10;5;0;10;7;9;9;16;5;6;3;32;6;9;4;58;13;25;4;52;16;37;9;68;16;18;10;42;27;36;9;19;14;21;13;10;13;17;9;24;13;15;8;9;15;16;9;18;10;8;14;19;31;8;6;14;11;11;10;10;13;13;10
Podèetrtek;4;14;0;0;5;8;2;7;3;15;2;0;12;11;3;8;4;8;1;0;3;3;1;4;3;4;11;6;4;4;1;2;4;5;1;1;3;1;1;4;7;4;5;3;7;5;3;5;11;7;8;6;16;10;12;5;26;4;10;8;8;5;13;6;9;6;8;8;9;5;7;5;6;6;6;3;13;13;7;6;10;4;5;10;9;11;5;9;10;7;13;14
Podlehnik;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;1;0;0;0;0;2;0;0;1;1;0;2;1;1;1;2;3;2;0;2;2;1;0;1;3;1;0;1;1;3;0;6;3;6;1;7;4;4;3;4;5;4;2;3;1;4;7;1;5;3;3;2;0;4;5;4;1;2;4;2;4;6;8;8;1;2;2;86;3;7;5;42;1;34;4
Podvelka;0;1;0;2;0;1;2;1;0;0;1;1;0;2;1;1;2;0;2;0;0;0;2;3;0;1;1;1;1;1;0;1;3;5;2;2;2;2;3;2;1;1;0;0;7;6;1;1;6;1;2;2;4;1;5;8;4;0;4;0;2;2;3;3;3;1;4;3;1;1;2;2;2;2;1;2;0;1;4;4;1;2;3;5;2;2;4;3;0;2;6;6
Poljèane;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;2;21;13;20;9;4;3;21;10;6;6;17;7;15;9;7;5;12;7;17;2;27;26;15;1;19;15;10;4;4;7;4;6;19;3;6;6;7;11;11;6;21;11
Polzela;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;0;4;0;9;3;7;2;8;2;6;1;11;6;16;3;14;5;7;3;48;1;18;3;27;13;24;2;31;6;24;5;30;13;9;4;43;16;16;3;44;12;23;9;20;5;20;6;12;5;16;12;12;4;19;13;13;10;10;4;15;4;13;11;9;14;18;10;14;11;10;6;10;4;16;14
Postojna;6;7;2;1;7;10;0;1;5;5;3;4;38;29;116;15;59;13;6;4;55;24;17;4;43;22;4;18;84;30;75;22;98;48;35;39;83;27;86;30;85;23;72;26;138;37;72;14;340;49;99;26;292;60;163;24;197;78;157;33;103;47;79;24;53;45;79;33;66;61;72;38;100;59;55;33;83;54;70;48;128;60;71;46;128;71;87;51;147;91;120;65
Prebold;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;3;3;8;6;9;3;28;5;16;0;20;4;10;13;15;5;11;7;34;4;19;6;19;12;28;9;37;13;36;11;40;5;18;2;44;6;10;3;49;8;39;9;19;9;25;3;18;11;17;9;69;6;16;14;11;9;57;10;15;2;26;25;8;9;20;2;16;13;13;5;17;7;14;14
Preddvor;3;2;0;0;1;2;0;0;1;0;1;0;0;1;0;0;2;2;1;2;2;2;0;1;8;1;3;5;4;12;6;7;6;2;11;2;9;1;6;1;11;3;8;5;15;4;15;3;27;10;10;8;33;11;10;10;11;1;20;5;8;6;8;3;10;4;9;4;9;6;11;9;7;4;6;6;6;5;7;6;9;5;8;6;3;6;11;5;6;5;13;5
Prevalje;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;0;1;5;10;0;9;3;11;6;22;8;4;8;4;2;11;5;6;10;34;6;11;6;52;6;15;2;44;6;36;7;52;5;26;9;67;18;25;7;53;12;25;11;23;22;20;8;27;18;21;11;29;20;25;11;14;14;23;22;23;21;36;20;21;28;32;20;25;16;22;25;36;21;18;16
Ptuj;12;17;6;5;15;13;8;13;7;5;6;10;20;17;19;16;14;12;10;11;21;22;17;5;35;37;5;12;14;17;24;25;16;22;9;14;48;16;34;15;62;28;65;34;88;28;64;38;156;45;96;39;214;65;84;48;286;65;170;42;91;36;101;54;68;54;85;49;96;42;129;88;240;32;118;79;170;54;143;88;177;46;165;88;200;64;146;74;186;95;161;67
Puconci;0;0;2;3;1;0;1;0;0;1;1;3;3;2;1;2;2;1;4;1;3;1;21;3;2;1;2;6;3;2;1;2;6;1;4;1;2;2;2;2;5;5;1;2;5;4;7;3;7;6;8;7;15;3;3;5;6;4;15;3;9;3;5;3;12;5;11;2;5;5;11;16;10;8;6;11;6;4;6;13;8;3;11;9;9;6;18;16;5;3;22;12
Raèe - Fram;4;1;1;1;3;2;0;0;1;0;1;1;7;5;3;2;6;3;5;4;11;3;4;3;13;2;26;0;13;8;10;8;8;15;12;3;5;7;6;15;9;10;5;4;16;8;11;6;10;11;10;5;25;7;26;17;28;14;11;8;11;6;13;4;10;6;10;11;8;10;17;19;6;10;17;16;4;3;22;13;39;9;26;11;33;12;26;13;21;5;27;13
Radeèe;1;0;0;0;3;2;0;0;2;2;5;2;1;0;4;4;0;0;2;1;4;1;1;1;4;4;10;1;4;6;1;2;4;6;6;4;1;1;6;4;3;4;0;4;6;3;3;3;2;3;10;5;22;7;6;2;22;2;11;2;4;1;13;2;7;4;7;4;5;5;17;8;4;10;7;5;2;4;7;15;7;7;7;7;7;8;12;8;6;6;11;10
Radenci;2;0;1;0;0;1;1;1;4;1;4;3;4;2;10;3;3;0;5;4;1;3;6;7;1;2;4;7;10;7;6;7;8;5;8;7;6;2;10;6;1;2;2;5;1;4;8;6;21;10;7;7;12;5;12;6;13;9;8;8;8;9;14;9;11;9;7;6;6;8;14;17;7;9;18;14;8;9;14;11;3;6;14;15;8;11;18;9;7;6;19;19
Radlje ob Dravi;0;1;2;1;2;1;4;1;2;1;1;1;0;1;2;2;0;0;0;4;10;5;14;5;2;0;3;4;9;1;2;2;11;6;10;3;12;11;6;3;23;18;10;11;26;10;24;17;21;6;11;6;48;13;19;18;33;11;43;8;15;9;19;11;15;18;12;9;15;15;4;11;15;13;11;14;12;15;22;13;16;13;13;6;10;9;11;7;16;9;15;9
Radovljica;9;9;5;2;5;7;5;6;3;6;13;5;12;10;7;3;13;17;7;5;13;7;14;12;10;9;6;9;21;25;19;15;14;28;17;17;16;18;17;15;25;22;22;20;38;35;32;25;60;32;38;36;82;31;40;16;90;41;54;27;57;32;52;31;81;38;55;37;56;20;65;47;46;36;43;36;48;39;55;39;71;37;69;48;56;41;92;40;83;42;71;60
Ravne na Koroškem;4;4;11;13;5;1;7;4;3;5;7;8;15;6;39;30;7;3;7;3;6;4;7;5;9;6;3;4;10;8;19;12;17;11;11;13;30;7;19;11;47;14;8;9;61;20;38;12;72;18;27;19;66;24;28;7;93;36;72;16;38;22;38;26;20;31;31;27;42;21;40;19;34;24;52;31;31;23;50;43;28;34;56;36;38;20;41;23;52;29;65;44
Razkrižje;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;0;4;1;2;3;0;0;1;4;0;4;2;9;3;4;3;3;0;3;2;7;1;1;5;11;1;2;3;3;5;4;2;5;7;9;5;4;5;7;6;4;4;3;5;6;5;10;4;5;5;2;4;2;5;5;4;2;9;12;2;1;4;9;1;1;6;3;1;2;6;5;5;8;6;4
Reèica ob Savinji;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;34;3;27;12;37;8;9;0;19;1;14;1;4;4;9;1;3;2;2;0;7;4;3;4;3;1;6;4;5;3;7;4;4;3;9;6;7;1;2;4;10;0;11;4
Renèe - Vogrsko;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;81;18;76;42;112;31;9;6;50;19;44;6;20;12;26;5;12;7;16;8;12;12;11;7;10;9;9;4;10;13;14;9;26;8;8;8;19;11;15;8;28;7;26;8
Ribnica;4;3;1;3;3;4;5;8;3;0;0;0;10;10;12;12;8;9;4;3;24;12;25;6;24;10;26;3;10;7;6;10;15;10;17;13;9;9;12;11;27;9;9;4;17;5;12;4;64;12;23;7;62;29;23;6;50;18;24;19;20;16;20;14;38;23;25;13;35;15;29;22;38;11;25;13;46;12;23;14;58;13;26;17;55;13;19;13;58;11;30;20
Ribnica na Pohorju;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;1;0;1;0;3;2;2;1;2;1;0;0;2;1;1;0;0;0;2;0;0;1;1;0;2;1;1;1;2;3;1;1;0;1;4;2;3;3;4;2;6;2;1;0;1;0;1;0;2;0;1;1;0;3;0;0;4;10;3;1;1;2;1;1;1;0;2;1;1;1;1;2;5;1
Rogaška Slatina;15;22;3;2;17;14;5;5;13;15;3;3;24;16;39;4;28;28;18;22;25;16;17;13;34;22;25;19;55;32;28;24;44;18;37;17;46;16;41;14;89;28;49;14;118;48;52;23;194;39;122;30;173;45;57;31;168;73;132;31;79;36;132;41;76;33;43;27;66;61;68;31;44;48;44;31;63;37;36;34;71;45;52;43;80;55;55;32;120;40;97;67
Rogašovci;0;1;0;0;0;1;0;3;0;0;1;0;0;1;0;1;0;0;4;3;0;0;0;3;0;0;0;2;0;2;2;3;0;1;1;0;1;3;0;0;1;5;3;4;5;2;4;6;6;7;2;7;5;1;3;4;2;3;8;5;4;1;2;4;2;0;4;4;5;2;11;12;1;1;8;5;10;3;13;14;6;4;6;16;5;6;16;18;8;2;10;7
Rogatec;4;7;0;1;2;9;4;3;10;13;3;1;9;28;2;23;8;26;2;7;1;13;7;7;7;32;9;35;11;36;16;27;6;25;13;10;13;9;8;7;25;13;2;11;22;20;29;11;23;12;13;12;28;20;7;9;53;15;22;12;31;10;38;19;26;15;17;7;30;9;21;18;22;8;16;13;28;11;18;11;32;13;19;10;39;14;28;11;41;10;30;18
Ruše;4;7;1;2;4;3;1;1;3;5;4;1;3;4;3;4;3;5;6;4;2;3;9;3;6;4;6;5;9;11;15;12;13;9;9;6;16;11;11;9;11;5;3;6;15;7;13;10;55;17;13;16;45;11;18;17;40;16;25;9;14;12;23;11;13;13;12;10;12;17;22;12;31;22;33;22;21;7;24;14;14;12;27;15;10;11;23;15;9;19;17;8
Selnica ob Dravi;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;5;1;5;1;2;2;3;1;0;1;2;4;5;5;4;0;1;1;1;3;2;4;1;12;3;3;1;13;4;3;0;10;8;3;9;19;6;7;12;31;9;21;5;7;5;13;8;9;6;1;1;5;7;8;11;6;1;9;8;4;4;6;3;10;4;6;7;7;3;6;5;7;7;9;6
Semiè;2;2;0;1;0;0;0;0;1;0;1;1;3;2;1;1;2;2;5;1;5;2;4;2;2;1;10;11;4;3;9;6;7;1;3;3;4;2;4;2;14;1;0;2;10;2;5;1;16;3;7;0;15;6;7;3;14;7;6;5;15;6;10;1;6;4;5;7;12;4;8;10;17;2;13;4;16;7;16;3;13;7;16;4;6;8;10;5;10;4;11;4
Sevnica;6;13;0;1;4;4;0;3;4;1;3;1;21;19;19;2;16;3;3;5;41;22;12;8;51;28;50;28;71;49;42;39;73;26;19;19;75;26;62;34;113;48;65;31;152;61;105;55;214;26;129;31;235;28;56;18;169;34;157;20;69;26;95;21;60;24;59;21;78;35;48;22;56;24;34;24;73;25;46;29;82;53;53;29;68;48;66;23;65;32;75;43
Sežana;7;2;0;2;4;1;1;1;5;1;2;1;47;18;86;35;37;39;19;17;52;18;30;7;41;38;46;25;140;57;88;36;124;46;56;28;97;27;95;38;96;48;64;13;226;78;119;32;361;73;122;41;328;115;125;30;309;115;199;54;133;93;119;61;127;114;104;42;118;95;107;61;115;101;69;63;139;77;94;79;144;104;99;41;163;114;90;65;158;107;126;76
Slovenj Gradec;6;1;4;4;2;2;0;0;3;1;3;1;8;6;2;5;9;13;3;0;9;3;7;3;3;7;6;5;13;9;11;9;26;16;14;19;16;11;11;4;69;28;39;14;90;18;63;30;78;15;24;15;106;24;54;36;105;31;73;19;43;19;61;12;41;31;30;15;55;35;38;19;54;30;45;49;49;18;53;33;47;28;50;51;56;25;57;36;69;26;65;43
Slovenska Bistrica;15;12;3;0;6;5;0;4;4;13;2;1;18;11;29;4;4;7;6;6;39;17;14;11;24;12;21;8;44;36;24;19;71;23;39;30;52;36;56;22;83;23;46;20;124;29;69;10;186;50;82;25;170;55;52;33;169;46;121;28;107;31;111;27;89;54;50;31;76;56;88;81;56;42;96;82;74;49;55;35;53;44;64;49;65;55;62;39;97;84;60;42
Slovenske Konjice;5;3;4;5;5;4;3;3;3;2;0;4;21;5;50;2;12;2;6;3;35;7;30;4;16;11;10;11;47;11;21;16;43;8;16;16;56;7;54;15;95;15;51;20;144;9;106;17;279;45;74;25;226;27;66;15;189;61;187;14;53;39;90;31;69;36;63;45;95;42;49;28;80;28;49;34;70;41;43;21;93;40;42;33;128;39;60;33;165;57;48;26
Sodražica;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;0;3;0;0;0;0;2;3;0;4;0;0;4;3;2;1;2;0;2;0;2;13;2;4;4;0;0;4;1;1;2;14;2;9;7;12;5;9;4;8;1;2;1;2;3;7;2;4;1;7;3;4;1;7;6;1;1;5;5;3;0;2;5;1;3;4;0;1;0;7;8;2;3;6;7
Solèava;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;1;1;0;0;0;0;1;0;0;1;3;0;0;0;1;0;0;2;3;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;0;1;0;1;0;1;0;1;1;0;2;3;0;2;0;0;0;0;0;1;0;0;0;1;0;0;1;3;0;0;1;1;0;3;1;1;2;2;2;4
